resource,assetType,optional,exclude,property,shortName,scope,lengthMin,lengthMax,validText,invalidText,invalidCharacters,invalidCharactersStart,invalidCharactersEnd,invalidCharactersConsecutive,regx,staticValues
Microsoft.CustomerInsights/hubs/predictions,Customer Insight - Prediction,UnitDept,"Org,VmRole",,pred,hub,1,512,Alphanumerics and underscores. Start with letter.,,,,,,"^[a-zA-Z][a-zA-Z0-9_]{0,511}$",
Microsoft.CustomerInsights/hubs/profiles,Customer Insight - Profile,UnitDept,"Org,VmRole",,prof,hub,1,128,Alphanumerics and underscores. Start with letter.,,,,,,"^[a-zA-Z][a-zA-Z0-9_]{0,127}$",
Microsoft.CustomerInsights/hubs/relationshipLinks,Customer Insight - Relationship Link,UnitDept,"Org,VmRole",,rlink,hub,1,512,Alphanumerics and underscores. Start with letter.,,,,,,"^[a-zA-Z][a-zA-Z0-9_]{0,511}$",
Microsoft.CustomerInsights/hubs/relationships,Customer Insight - Relationship,UnitDept,"Org,VmRole",,rel,hub,1,512,Alphanumerics and underscores. Start with letter.,,,,,,"^[a-zA-Z][a-zA-Z0-9_]{0,511}$",
Microsoft.CustomerInsights/hubs/roleAssignments,Customer Insight - Role Assignment,UnitDept,"Org,VmRole",,role,hub,1,128,Alphanumerics and underscores. Start with letter.,,,,,,"^[a-zA-Z][a-zA-Z0-9_]{0,127}$",
Microsoft.CustomerInsights/hubs/views,Customer Insight - View,UnitDept,"Org,VmRole",,views,hub,1,512,Alphanumerics and underscores. Start with letter.,,,,,,"^[a-zA-Z][a-zA-Z0-9_]{0,511}$",
Microsoft.CustomProviders/associations,Custom Provider - Association,UnitDept,"Org,VmRole",,cpass,resource group,1,180, ,"Percent sign, ampersand, backslash, question mark, slash. Can't end with period or space.",%&\?/,,,. ,"^(?:[^%&\\\?\/\. ]|[^%&\\\?\/]{1,179}[^. ])$",
Microsoft.CustomProviders/resourceProviders,Custom Provider - Resource Provider,UnitDept,"Org,VmRole",,cprep,resource group,3,64, ,"Percent sign, ampersand, backslash, question mark, slash. Can't end with period or space.",%&\?/,,,. ,"^[^%&\\\?\/]{3,63}[^. ]$",
Microsoft.DataBox/jobs,Data Box - Job,UnitDept,"Org,VmRole",,dbjob,resource group,3,24,"Alphanumerics, hyphens, underscores and periods.",,,,,,"^[a-zA-Z0-9_\.-]{3,24}$",
Microsoft.Databricks/workspaces,Databricks Workspae,UnitDept,"Org,VmRole",,dbws,resource group,3,30,"Alphanumerics, underscores, and hyphens",,,,,,"^[a-zA-Z0-9_-]{3,30}$",
Microsoft.DataFactory/factories,Data Factory,UnitDept,"Org,VmRole",,adf,global,3,63,Alphanumerics and hyphens. Start and end with alphanumeric.,,,,,,"^[a-zA-Z0-9][a-zA-Z0-9-]{1,61}[a-zA-Z0-9]$",
Microsoft.DataFactory/factories/dataflows,Data Factory Data Flow,UnitDept,"Org,VmRole",,flows,factory,1,260,Start with alphanumeric.,"Angle brackets, asterisk, number sign, period, percent sign, ampersand, colon, backslash, question mark, plus sign, and slash",<>*#.%&:\+?/,,,,"^[a-zA-Z0-9][^<>\*#\.%&:\\\+\?\/]{0,259}$",
Microsoft.DataFactory/factories/datasets,Data Factory Data Set,UnitDept,"Org,VmRole",,dsets,factory,1,260,Start with alphanumeric.,"Angle brackets, asterisk, number sign, period, percent sign, ampersand, colon, backslash, question mark, plus sign, and slash",<>*#.%&:\+?/,,,,"^[a-zA-Z0-9][^<>\*#\.%&:\\\+\?\/]{0,259}$",
Microsoft.DataFactory/factories/integrationRuntimes,Data Factory Integration Runtime,UnitDept,"Org,VmRole",,run,factory,3,63,Alphanumerics and hyphens. Start and end with alphanumeric.,,,,,,"^[a-zA-Z0-9][a-zA-Z0-9-]{1,61}[a-zA-Z0-9]$",
Microsoft.DataFactory/factories/linkedservices,Data Factory Linked Service,UnitDept,"Org,VmRole",,lksvc,factory,1,260,Start with alphanumeric.,"Angle brackets, asterisk, number sign, period, percent sign, ampersand, colon, backslash, question mark, plus sign, and slash",<>*#.%&:\+?/,,,,"^[a-zA-Z0-9][^<>\*#\.%&:\\\+\?\/]{0,259}$",
Microsoft.DataFactory/factories/pipelines,Data Factory Pipeline,UnitDept,"Org,VmRole",,pipe,factory,1,260,Start with alphanumeric.,"Angle brackets, asterisk, number sign, period, percent sign, ampersand, colon, backslash, question mark, plus sign, and slash",<>*#.%&:\+?/,,,,"^[a-zA-Z0-9][^<>\*#\.%&:\\\+\?\/]{0,259}$",
Microsoft.DataFactory/factories/triggers,Data Factory Trigger,UnitDept,"Org,VmRole",,trig,factory,1,260,Start with alphanumeric.,"Angle brackets, asterisk, number sign, period, percent sign, ampersand, colon, backslash, question mark, plus sign, and slash",<>*#.%&:\+?/,,,,"^[a-zA-Z0-9][^<>\*#\.%&:\\\+\?\/]{0,259}$",
Microsoft.DataFactory/factories/triggers/rerunTriggers,Data Factory Rerun Trigger,UnitDept,"Org,VmRole",,rerun,trigger,1,260,Start with alphanumeric.,"Angle brackets, asterisk, number sign, period, percent sign, ampersand, colon, backslash, question mark, plus sign, and slash",<>*#.%&:\+?/,,,,"^[a-zA-Z0-9][^<>\*#\.%&:\\\+\?\/]{0,259}$",
Microsoft.DataLakeAnalytics/accounts,Data Lake Analytics Account,UnitDept,"Org,VmRole",,dlaac,global,3,24,Lowercase letters and numbers.,,,,,,"^[a-z0-9]{3,24}$",
Microsoft.DataLakeAnalytics/accounts/computePolicies,Data Lake Analytics Compute Policy,UnitDept,"Org,VmRole",,cmpol,account,3,60,"Alphanumerics, hyphens, and underscores.",,,,,,"^[a-zA-Z0-9_-]{3,60}$",
Microsoft.DataLakeAnalytics/accounts/dataLakeStoreAccounts,Data Lake Analytics Store Account,UnitDept,"Org,VmRole",,dlsta,account,3,24,Lowercase letters and numbers.,,,,,,"^[a-z0-9]{3,24}$",
Microsoft.DataLakeAnalytics/accounts/firewallRules,Data Lake Analytics Firewall Rule,UnitDept,"Org,VmRole",,fwrul,account,3,50,"Alphanumerics, hyphens, and underscores.",,,,,,"^[a-zA-Z0-9_-]{3,50}$",
Microsoft.DataLakeAnalytics/accounts/storageAccounts,Data Lake Analytics Storage Account,UnitDept,"Org,VmRole",,sa,account,3,60,"Alphanumerics, hyphens, and underscores.",,,,,,"^[a-zA-Z0-9_-]{3,60}$",
Microsoft.DataLakeStore/accounts,Data Lake Store Account,UnitDept,"Org,VmRole",,dlsa,global,3,24,Lowercase letters and numbers.,,,,,,"^[a-z0-9]{3,24}$",
Microsoft.DataLakeStore/accounts/firewallRules,Data Lake Store Firewall Rule,UnitDept,"Org,VmRole",,frule,account,3,50,"Alphanumerics, hyphens, and underscores.",,,,,,"^[a-zA-Z0-9_-]{3,50}$",
Microsoft.DataLakeStore/accounts/virtualNetworkRules,Data Lake Store Virtual Network Rule,UnitDept,"Org,VmRole",,vrule,account,3,50,"Alphanumerics, hyphens, and underscores.",,,,,,"^[a-zA-Z0-9_-]{3,50}$",
Microsoft.DataMigration/services,Data Migration,UnitDept,"Org,VmRole",,dms,resource group,2,62,"Alphanumerics, hyphens, periods, and underscores. Start with alphanumeric",,,,,,"^[a-zA-Z0-9][a-zA-Z0-9_\.-]{1,61}$",
Microsoft.DataMigration/services/projects,Data Migration Project,UnitDept,"Org,VmRole",,proj,service,2,57,"Alphanumerics, hyphens, periods, and underscores.",,,,,,"^[a-zA-Z0-9_-\.]{2,57}$",
Microsoft.DBforMariaDB/servers,DB for Maria DB Server,UnitDept,"Org,VmRole",,mdbsv,global,3,63,"Lowercase letters, hyphens and numbers.",Can't start or end with hyphen.,,-,-,,"^(?!-.*)(?!.*-$)[a-z0-9-]{3,63}$",
Microsoft.DBforMariaDB/servers/databases,DB for Maria DB Database,UnitDept,"Org,VmRole",,mdbdb,servers,1,63,Alphanumerics and hyphens.,,,,,,"^[a-zA-Z0-9-]{1,63}$",
Microsoft.DBforMariaDB/servers/firewallRules,DB for Maria DB Firewall Rule,UnitDept,"Org,VmRole",,fwrul,servers,1,128,"Alphanumerics, hyphens, and underscores.",,,,,,"^[a-zA-Z0-9_-]{1,128}$",
Microsoft.DBforMariaDB/servers/virtualNetworkRules,DB for Maria DB Virtual Network Rule,UnitDept,"Org,VmRole",,vnetr,servers,1,128,Alphanumerics and hyphens.,,,,,,"^[a-zA-Z0-9-]{1,128}$",
Microsoft.DBforMySQL/servers,DB for MySQL Server,UnitDept,"Org,VmRole",,mysql,global,3,63,"Lowercase letters, hyphens and numbers.",Can't start or end with hyphen.,,-,-,,"^(?!-.*)(?!.*-$)[a-z0-9-]{3,63}$",
Microsoft.DBforMySQL/servers/databases,DB for MySQL Database,UnitDept,"Org,VmRole",,db,servers,1,63,Alphanumerics and hyphens.,,,,,,"^[a-zA-Z0-9-]{1,63}$",
Microsoft.DBforMySQL/servers/firewallRules,DB for MySQL Firewall Rule,UnitDept,"Org,VmRole",,frule,servers,1,128,"Alphanumerics, hyphens, and underscores.",,,,,,"^[a-zA-Z0-9_-]{1,128}$",
Microsoft.DBforMySQL/servers/virtualNetworkRules,DB for MySQL Virtual Network Rule,UnitDept,"Org,VmRole",,vrule,servers,1,128,Alphanumerics and hyphens.,,,,,,"^[a-zA-Z0-9-]{1,128}$",
Microsoft.DBforPostgreSQL/servers,DB for Postgre SQL Server,UnitDept,"Org,VmRole",,psql,global,3,63,"Lowercase letters, hyphens and numbers.",Can't start or end with hyphen.,,-,-,,"^(?!-.*)(?!.*-$)[a-z0-9-]{3,63}$",
Microsoft.DBforPostgreSQL/servers/databases,DB for Postgre SQL Database,UnitDept,"Org,VmRole",,db,servers,1,63,Alphanumerics and hyphens.,,,,,,"^[a-zA-Z0-9-]{1,63}$",
Microsoft.DBforPostgreSQL/servers/firewallRules,DB for Postgre SQL Firewall Rule,UnitDept,"Org,VmRole",,fwrul,servers,1,128,"Alphanumerics, hyphens, and underscores.",,,,,,"^[a-zA-Z0-9_-]{1,128}$",
Microsoft.DBforPostgreSQL/servers/virtualNetworkRules,DB for Postgre SQL Virtual Network Rule,UnitDept,"Org,VmRole",,vnetr,servers,1,128,Alphanumerics and hyphens.,,,,,,"^[a-zA-Z0-9-]{1,128}$",
Microsoft.Devices/IotHubs,IoT Hub,UnitDept,"Org,VmRole",,iot,global,3,50,Alphanumerics and hyphens.,Can't end with hyphen.,,,-,,"^(?!.*-$)[a-zA-Z0-9-]{3,50}$",
Microsoft.Devices/IotHubs/certificates,IoT Hub Certificate,UnitDept,"Org,VmRole",,cert,IoT hub,1,64,"Alphanumerics, hyphens, periods, and underscores.",,,,,,"^[a-zA-Z0-9_-\.]{1,64}$",
Microsoft.Devices/IotHubs/eventHubEndpoints/ConsumerGroups,IoT Hub Consumer Group,UnitDept,"Org,VmRole",,congp,eventHubEndpoints,1,50,"Alphanumerics, hyphens, periods, and underscores.",,,,,,"^[a-zA-Z0-9_-\.]{1,50}$",
Microsoft.Devices/provisioningServices,Device Provisioning Service,UnitDept,"Org,VmRole",,provs,resource group,3,64,Alphanumerics and hyphens. End with alphanumeric,,,,,,"^(?:[a-zA-Z0-9-]{2,63}[a-zA-Z0-9])$",
Microsoft.Devices/provisioningServices/certificates,Device Provisioning Service Certificate,UnitDept,"Org,VmRole",,cert,provisioningServices,1,64,"Alphanumerics, hyphens, periods, and underscores.",,,,,,"^[a-zA-Z0-9_-\.]{1,64}$",
Microsoft.DevTestLab/labs,Dev Test Lab,UnitDept,"Org,VmRole",,dtlab,resource group,1,50,"Alphanumerics, underscores, and hyphens.",,,,,,"^[a-zA-Z0-9_-]{1,50}$",
Microsoft.DevTestLab/labs/customimages,Dev Test Lab Custom Image,UnitDept,"Org,VmRole",,img,lab,1,80,"Alphanumerics, underscores, hyphens, and parentheses.",,,,,,"^[a-zA-Z0-9_-()]{1,80}$",
Microsoft.DevTestLab/labs/formulas,Dev Test Lab Formula,UnitDept,"Org,VmRole",,form,lab,1,80,"Alphanumerics, underscores, hyphens, and parentheses.",,,,,,"^[a-zA-Z0-9_-()]{1,80}$",
Microsoft.DevTestLab/labs/virtualmachines,Dev Test Lab Virtual Machine (Windows),UnitDept,Org,Windows,vm,lab,1,15,Alphanumerics and hyphens. Start and end with alphanumeric.,Can't be all numbers.,,,,,"^(?![0-9]+$)([a-zA-Z0-9]|[a-zA-Z0-9][a-zA-Z0-9-]{0,62}[a-zA-Z0-9])$",
Microsoft.DevTestLab/labs/virtualmachines,Dev Test Lab Virtual Machine (Linux),UnitDept,Org,Linux,vm,lab,1,64,Alphanumerics and hyphens. Start and end with alphanumeric.,Can't be all numbers.,,,,,"^(?![0-9]+$)([a-zA-Z0-9]|[a-zA-Z0-9][a-zA-Z0-9-]{0,13}[a-zA-Z0-9])$",
Microsoft.DocumentDB/databaseAccounts,Document DB Account,UnitDept,"Org,VmRole",,dbact,global,3,44,"Lowercase letters, numbers, and hyphens. Start with lowercase letter or number.",,,,,,"^[a-z0-9][a-z0-9-]{2,43}$",
"Microsoft.""DocumentDB/databaseAccounts/sqlDatabases	""",Document DB SQL Database,,,,cosdb,,,,,,,,,,,
Microsoft.EventGrid/domains,Event Grid Domain,UnitDept,"Org,VmRole",,evgd,resource group,3,50,Alphanumerics and hyphens.,,,,,,"^[a-zA-Z0-9-]{3,50}$",
Microsoft.EventGrid/domains/topics,Event Grid Domain Topic,UnitDept,"Org,VmRole",,egdt,domain,3,50,Alphanumerics and hyphens.,,,,,,"^[a-zA-Z0-9-]{3,50}$",
Microsoft.EventGrid/eventSubscriptions,Event Grid Event Subscription,UnitDept,"Org,VmRole",,egesu,resource group,3,64,Alphanumerics and hyphens.,,,,,,"^[a-zA-Z0-9-]{3,64}$",
Microsoft.EventGrid/topics,Event Grid Topic,UnitDept,"Org,VmRole",,egtp,resource group,3,50,Alphanumerics and hyphens.,,,,,,"^[a-zA-Z0-9-]{3,50}$",
Microsoft.EventHub/clusters,Event Hub Cluster,UnitDept,"Org,VmRole",,evhcl,resource group,1,50,Alphanumerics and hyphens. Start with letter.  End with letter or number.,,,,,,"^(?:[a-zA-Z]|[a-zA-Z][a-zA-Z0-9-]{0,48}[a-zA-Z0-9])$",
Microsoft.EventHub/namespaces,Event Hub Namespace,UnitDept,"Org,VmRole",,evhns,global,1,50,Alphanumerics and hyphens. Start with letter.  End with letter or number.,,,,,,"^(?:[a-zA-Z]|[a-zA-Z][a-zA-Z0-9-]{0,48}[a-zA-Z0-9])$",
Microsoft.EventHub/namespaces/AuthorizationRules,Event Hub Namespace Authorization Rule,UnitDept,"Org,VmRole",,rule,namespace,1,50,"Alphanumerics, periods, hyphens and underscores. Start and end with letter or number.",,,,,,"^(?:[a-zA-Z0-9]|[a-zA-Z0-9][a-zA-Z0-9_\.-]{0,48}[a-zA-Z0-9])$",
Microsoft.EventHub/namespaces/disasterRecoveryConfigs,Event Hub Namespace Disaster Recovery Config,UnitDept,"Org,VmRole",,drcfg,namespace,1,50,"Alphanumerics, periods, hyphens and underscores. Start and end with letter or number.",,,,,,"^(?:[a-zA-Z0-9]|[a-zA-Z0-9][a-zA-Z0-9_\.-]{0,48}[a-zA-Z0-9])$",
Microsoft.EventHub/namespaces/eventhubs,Event Hub Namespace Event Hub,UnitDept,"Org,VmRole",,evh,namespace,1,50,"Alphanumerics, periods, hyphens and underscores. Start and end with letter or number.",,,,,,"^(?:[a-zA-Z0-9]|[a-zA-Z0-9][a-zA-Z0-9_\.-]{0,48}[a-zA-Z0-9])$",
Microsoft.EventHub/namespaces/eventhubs/authorizationRules,Event Hub Namespace Event Hub Authorization Rule,UnitDept,"Org,VmRole",,rule,event hub,1,50,"Alphanumerics, periods, hyphens and underscores. Start and end with letter or number.",,,,,,"^(?:[a-zA-Z0-9]|[a-zA-Z0-9][a-zA-Z0-9_\.-]{0,48}[a-zA-Z0-9])$",
Microsoft.EventHub/namespaces/eventhubs/consumergroups,Event Hub Namespace Event Hub Consumer Group,UnitDept,"Org,VmRole",,cgrp,event hub,1,50,"Alphanumerics, periods, hyphens and underscores. Start and end with letter or number.",,,,,,"^(?:[a-zA-Z0-9]|[a-zA-Z0-9][a-zA-Z0-9_\.-]{0,48}[a-zA-Z0-9])$",
Microsoft.HDInsight/clusters,HD Insight Cluster (Hadoop),UnitDept,"Org,VmRole",Hadoop Cluster,hadoop,global,3,59,Alphanumerics and hyphens. Start and end with letter or number,,,,,,"^[a-zA-Z][a-zA-Z0-9-]{1,57}[a-zA-Z0-9]$",
Microsoft.HDInsight/clusters,HD Insight Cluster (HBase),UnitDept,"Org,VmRole",HBase Cluster,hbase,global,3,59,Alphanumerics and hyphens. Start and end with letter or number,,,,,,"^[a-zA-Z][a-zA-Z0-9-]{1,57}[a-zA-Z0-9]$",
Microsoft.HDInsight/clusters,HD Insight Cluster (Kafka),UnitDept,"Org,VmRole",Kafka Cluster,kafka,global,3,59,Alphanumerics and hyphens. Start and end with letter or number,,,,,,"^[a-zA-Z][a-zA-Z0-9-]{1,57}[a-zA-Z0-9]$",
Microsoft.HDInsight/clusters,HD Insight Cluster (Spark),UnitDept,"Org,VmRole",Spark Cluster,mls,global,3,59,Alphanumerics and hyphens. Start and end with letter or number,,,,,,"^[a-zA-Z][a-zA-Z0-9-]{1,57}[a-zA-Z0-9]$",
Microsoft.HDInsight/clusters,HD Insight Cluster (Storm),UnitDept,"Org,VmRole",Storm Cluster,spark,global,3,59,Alphanumerics and hyphens. Start and end with letter or number,,,,,,"^[a-zA-Z][a-zA-Z0-9-]{1,57}[a-zA-Z0-9]$",
Microsoft.HDInsight/clusters,HD Insight Cluster (ML Services),UnitDept,"Org,VmRole",ML Services Cluster,storm,global,3,59,Alphanumerics and hyphens. Start and end with letter or number,,,,,,"^[a-zA-Z][a-zA-Z0-9-]{1,57}[a-zA-Z0-9]$",
Microsoft.HybridCompute/machines,Hybrid Compute Machine,,,,arcm,,,,,,,,,,,
Microsoft.ImportExport/jobs,Import Export Job,UnitDept,"Org,VmRole",,iejob,resource group,2,64,Alphanumerics and hyphens. Start with letter.   ,,,,,,"^[a-zA-Z][a-zA-Z0-9-]{1,63}$",
Microsoft.Insights/actionGroups,Insights Action Group,UnitDept,"Org,VmRole",,inag,resource group,1,260,,"Slash, ampersand, percent sign, backslash, and question mark. Can't end with space or period.",/&%\?,,. ,,"^(?!.*[\.]$)(?!.* $)[^\/&%\\\?]{1,260}$",
Microsoft.Insights/activityLogAlerts,Insignts Activity Log Alert,UnitDept,"Org,VmRole",,inala,resource group,1,260,,"Angle brackets, asterisk, percent sign, curly brackets, ampersand, colon, backslash, question mark, plus sign, slash, and number sign. Can't end with space or period.",<>*%{}&:\?+/#,,. ,,"^(?!.*[\.]$)(?!.* $)[^<>\*%{}&:\\\?\+\/#]{1,260}$",
Microsoft.Insights/components,Insights Component,UnitDept,"Org,VmRole",,incom,resource group,1,260,,"Percent sign, ampersand, backslash, question mark, and slash. Can't end with space or period.",%&\?/,,. ,,"^(?!.*[\.]$)(?!.* $)[^%&\\\?\/]{1,260}$",
Microsoft.Insights/metricAlerts,Insights Metric Alert,UnitDept,"Org,VmRole",,inma,resource group,1,260,,"Asterisk, number sign, ampersand, plus sign, colon, angle brackets, question mark, at sign, percent sign, curly brackets, backslash, and slash. Can't end with space or period.",*#&+:<>?@%{}\/,,. ,,"^(?!.*[\.]$)(?!.* $)[^\*#&\+:<>\?@%{}\\\/]{1,260}$",
Microsoft.Insights/scheduledQueryRules,Insights Scheduled Query Rules,UnitDept,"Org,VmRole",,insqr,resource group,1,260,,"Asterisk, angle brackets, percent sign, curly brackets, ampersand, colon backslash, question mark, slash, and number sign. Can't end with space or period.",*<>%{}&:\?/#,,. ,,"^(?!.*[\.]$)(?!.* $)[^\*<>%{}&:\\\?\/#]{1,260}$",
Microsoft.IoTCentral/IoTApps,IoT Central Application,UnitDept,"Org,VmRole",,iotapp,global,2,63,"Lowercase letters, numbers and hyphens. Start with lowercase letter or number",,,,,,"^[a-z0-9][a-z0-9-]{1,62}$",
Microsoft.KeyVault/vaults,Key Vault,UnitDept,"Org,VmRole",,kv,global,1,127,Alphanumerics and hyphens. Start with letter. End with letter or number.,Can't contain consecutive hyphens.,,,,-,"^(?!.*-{2}.*)([a-zA-Z]|[a-zA-Z][a-zA-Z0-9-]{0,125}[a-zA-Z0-9])$",
Microsoft.KeyVault/vaults/secrets,Key Vault Secret,UnitDept,"Org,VmRole",,kvs,Vault,1,127,Alphanumerics and hyphens.,,,,,,"^[a-zA-Z0-9-]{1,127}$",
Microsoft.Kubernetes/connectedClusters,Kubernetes Connected Cluster,,,,kubcc,,,,,,,,,,,
Microsoft.Kusto/clusters,Kusto Cluster,UnitDept,"Org,VmRole",,kucl,global,4,22,Lowercase letters and numbers. Start with letter.,,,,,,"^[a-z][a-z0-9]{3,21}$",
Microsoft.Kusto/clusters/databases,Kusto Database,UnitDept,"Org,VmRole",,kcdb,cluster,1,260,"Alphanumerics, hyphens, spaces, and periods.",,,,,,"^[a-zA-Z0-9-\. ]{1,260}$",
Microsoft.Kusto/clusters/databases/dataConnections,Kusto Data Connection,UnitDept,"Org,VmRole",,dcon,database,1,40,"Alphanumerics, hyphens, spaces, and periods.",,,,,,"^[a-zA-Z0-9-\. ]{1,40}$",
Microsoft.Kusto/clusters/databases/eventhubconnections,Kusto Event Hub Connection,UnitDept,"Org,VmRole",,ehcon,database,1,40,"Alphanumerics, hyphens, spaces, and periods.",,,,,,"^[a-zA-Z0-9-\. ]{1,40}$",
Microsoft.Logic/integrationAccounts,Logic Integration Account,UnitDept,"Org,VmRole",,liact,resource group,1,80,"Alphanumerics, hyphens, underscores, periods, and parenthesis.",,,,,,"^[a-zA-Z0-9_\.()-]{1,80}$",
Microsoft.Logic/integrationAccounts/assemblies,Logic Assembly,UnitDept,"Org,VmRole",,assem,integration account,1,80,"Alphanumerics, hyphens, underscores, periods, and parenthesis.",,,,,,"^[a-zA-Z0-9_-\.()]{1,80}$",
Microsoft.Logic/integrationAccounts/batchConfigurations,Logic Batch Configuration,UnitDept,"Org,VmRole",,bconf,integration account,1,20,Alphanumerics.,,,,,,"^[a-zA-Z0-9]{1,20}$",
Microsoft.Logic/integrationAccounts/certificates,Logic Certificate,UnitDept,"Org,VmRole",,cert,integration account,1,80,"Alphanumerics, hyphens, underscores, periods, and parenthesis.",,,,,,"^[a-zA-Z0-9_-\.()]{1,80}$",
Microsoft.Logic/integrationAccounts/maps,Logic Map,UnitDept,"Org,VmRole",,map,integration account,1,80,"Alphanumerics, hyphens, underscores, periods, and parenthesis.",,,,,,"^[a-zA-Z0-9_-\.()]{1,80}$",
Microsoft.Logic/integrationAccounts/partners,Logic Partner,UnitDept,"Org,VmRole",,part,integration account,1,80,"Alphanumerics, hyphens, underscores, periods, and parenthesis.",,,,,,"^[a-zA-Z0-9_-\.()]{1,80}$",
Microsoft.Logic/integrationAccounts/rosettanetprocessconfigurations,Logic Rosetta Net Process Configuration,UnitDept,"Org,VmRole",,rpcnf,integration account,1,80,"Alphanumerics, hyphens, underscores, periods, and parenthesis.",,,,,,"^[a-zA-Z0-9_-\.()]{1,80}$",
Microsoft.Logic/integrationAccounts/schemas,Logic Schema,UnitDept,"Org,VmRole",,schem,integration account,1,80,"Alphanumerics, hyphens, underscores, periods, and parenthesis.",,,,,,"^[a-zA-Z0-9_-\.()]{1,80}$",
Microsoft.Logic/integrationAccounts/sessions,Logic Session,UnitDept,"Org,VmRole",,sess,integration account,1,80,"Alphanumerics, hyphens, underscores, periods, and parenthesis.",,,,,,"^[a-zA-Z0-9_-\.()]{1,80}$",
Microsoft.Logic/integrationServiceEnvironments,Logic Integration Service Environment,UnitDept,"Org,VmRole",,lise,resource group,1,80,"Alphanumerics, hyphens, periods, and underscores.",,,,,,"^[a-zA-Z0-9_\.-]{1,80}$",
Microsoft.Logic/integrationServiceEnvironments/managedApis,Logic Integration Service Environment Managed API,UnitDept,"Org,VmRole",,mapis,integration service environment,1,80,"Alphanumerics, hyphens, periods, and underscores.",,,,,,"^[a-zA-Z0-9_-\.]{1,80}$",
Microsoft.Logic/workflows,Logic Workflow,UnitDept,"Org,VmRole",,lwf,resource group,1,80,"Alphanumerics, hyphens, underscores, periods, and parenthesis.",,,,,,"^[a-zA-Z0-9_\.()-]{1,80}$",
Microsoft.MachineLearning/commitmentPlans,Machine Learning Commiment Plan,UnitDept,"Org,VmRole",,mlcp,resource group,1,260, ,"Angle brackets, asterisk, percent sign, ampersand, colon, backslash, question mark, plus sign, and slash. Can't end with a space.",<>*%&:?+\/\\,, ,,"^(?!.* $)[^<>\*%&:\+\\\/\?]{1,260}$",
Microsoft.MachineLearning/webServices,Machine Learning Web Service,UnitDept,"Org,VmRole",,mlweb,resource group,1,260, ,"Angle brackets, asterisk, percent sign, ampersand, colon, backslash, question mark, plus sign, and slash. Can't end with a space.",<>*%&:?+\/\\,, ,,"^(?!.* $)[^<>\*%&:\+\\\/\?]{1,260}$",
Microsoft.MachineLearning/workspaces,Machine Learning Workspace,UnitDept,"Org,VmRole",,mlws,resource group,1,260, ,"Angle brackets, asterisk, percent sign, ampersand, colon, backslash, question mark, plus sign, and slash. Can't end with a space.",<>*%&:?+\/\\,, ,,"^(?!.* $)[^<>\*%&:\+\\\/\?]{1,260}$",
Microsoft.MachineLearningServices/workspaces,Machine Learning Service Workspace,UnitDept,"Org,VmRole",,mlsw,resource group,3,33,Alphanumerics and hyphens.,,,,,,"^[a-zA-Z0-9-]{3,33}$",
Microsoft.MachineLearningServices/workspaces/computes,Machine Learning Service Workspace Compute,UnitDept,"Org,VmRole",,mlswc,workspace,2,16,Alphanumerics and hyphens.,,,,,,"^[a-zA-Z0-9-]{2,16}$",
Microsoft.ManagedIdentity/userAssignedIdentities,User Assigned Managed Identity,UnitDept,"Org,VmRole",,miuai,resource group,3,128,"Alphanumerics, hyphens, and underscores.  Start with letter or number.",,,,,,"^[a-zA-Z0-9][a-zA-Z0-9_-]{2,127}$",
Microsoft.Management/managementGroups,Management Group,"Org,UnitDept,ProjAppSvc,Environment","VmRole,Instance,Location",,mg,tenant,,,,,,,,,,
Microsoft.Maps/accounts,Map Account,UnitDept,"Org,VmRole",,macc,resource group,1,98,"Alphanumerics, underscores, periods, and hyphens. Start with alphanumeric.",,,,,,"^[a-zA-Z0-9][a-zA-Z0-9_\.-]{0,97}$",
Microsoft.Media/mediaservices,Media Service,UnitDept,"Org,VmRole",,mms,resource group,3,24,Lowercase letters and numbers.,,,,,,"^[a-z0-9]{3,24}$",
Microsoft.Media/mediaservices/liveEvents,Media Service Live Event,UnitDept,"Org,VmRole",,lievt,Media service,1,32,Alphanumerics and hyphens. Start with alphanumeric.,,,,,,"^[a-zA-Z0-9][a-zA-Z0-9-]{0,31}$",
Microsoft.Media/mediaservices/liveEvents/liveOutputs,Media Service Live Event Live Output,UnitDept,"Org,VmRole",,liout,Live event,1,256,Alphanumerics and hyphens. Start with alphanumeric.,,,,,,"^[a-zA-Z0-9][a-zA-Z0-9-]{0,255}$",
Microsoft.Media/mediaservices/streamingEndpoints,Media Service Streaming Endpoint,UnitDept,"Org,VmRole",,strep,Media service,1,256,Alphanumerics and hyphens.,,,,,,"^[a-zA-Z0-9-]{1,256}$",
Microsoft.Migrate/assessmentProjects,Migrate Assesment Project,,,,migap,,,,,,,,,,,
Microsoft.Network/applicationGateways,Application Gateway,UnitDept,"Org,VmRole",,agw,resource group,1,24,"Alphanumerics, underscores, periods, and hyphens. Start with alphanumeric. End with alphanumeric or underscore.",,,,,,"^(?:[a-zA-Z0-9]|[a-zA-Z0-9][a-zA-Z0-9_\.-]{0,22}[a-zA-Z0-9_])$",
